Tempo;V1;V2;V3;A1;A2;A3;U1;U2;U3
s;V;V;V;A;A;A;V;V;V
0.369200;10361.32405;-8919.489132;-1506.4689;-0.647313445;-1.29462689;4.531194115;19280.81319;-7413.020232;-11867.79295
0.369265;10440.87357;-8790.221174;-1774.948506;-0.323656723;-0.970970168;4.531194115;19231.09474;-7015.272667;-12215.82207
0.369330;10525.39492;-8631.122148;-2058.343646;-0.647313445;-1.29462689;4.531194115;19156.51707;-6572.778502;-12583.73857
0.369395;10644.71919;-8432.248366;-2311.907718;-0.647313445;-1.29462689;4.531194115;19076.96756;-6120.340647;-12956.62691
0.369460;10729.24055;-8302.980407;-2555.528101;-0.323656723;-1.29462689;4.854850838;19032.22096;-5747.452306;-13284.76865
0.369525;10808.79006;-8109.07847;-2833.951396;-0.323656723;-1.29462689;4.531194115;18917.86853;-5275.127073;-13642.74146
0.369590;10888.33958;-7900.260998;-3147.177603;-0.323656723;-1.29462689;4.854850838;18788.60057;-4753.083395;-14035.51718
0.369655;10972.86093;-7696.415371;-3445.488277;0;-1.29462689;4.854850838;18669.2763;-4250.927095;-14418.34921
0.369720;11012.63569;-7492.569745;-3728.883416;0;-1.29462689;4.854850838;18505.20543;-3763.686328;-14741.51911
0.369785;11052.41045;-7288.724118;-3952.616421;0;-1.618283613;4.854850838;18341.13456;-3336.107697;-15005.02687
0.369850;11092.1852;-7050.075579;-4216.124183;0.323656723;-1.29462689;5.178507561;18142.26078;-2833.951396;-15308.30939
0.369915;11176.70656;-6841.258108;-4504.491167;0.323656723;-1.29462689;5.178507561;18017.96467;-2336.766941;-15681.19773
0.369980;11216.48132;-6637.412481;-4787.886307;0.323656723;-1.618283613;4.854850838;17853.8938;-1849.526175;-16004.36762
0.370045;11216.48132;-6354.017342;-5041.450379;0.647313445;-1.29462689;4.854850838;17570.49866;-1312.566963;-16257.9317
0.370110;11216.48132;-6145.19987;-5285.070762;0.647313445;-1.29462689;4.854850838;17361.68119;-860.1291081;-16501.55208
0.370175;11216.48132;-5906.551332;-5498.860078;0.647313445;-1.618283613;4.854850838;17123.03265;-407.6912535;-16715.34139
0.370240;11256.25607;-5662.930948;-5767.339684;0.647313445;-1.29462689;5.178507561;16919.18702;104.4087357;-17023.59576
0.370305;11216.48132;-5414.338721;-6020.903756;0.970970168;-1.29462689;4.854850838;16630.82004;606.5650357;-17237.38507
0.370370;11216.48132;-5170.718337;-6234.693072;0.970970168;-1.618283613;4.854850838;16387.19965;1063.974735;-17451.17439
0.370435;11176.70656;-4927.097954;-6498.200834;1.29462689;-1.29462689;5.178507561;16103.80451;1571.102879;-17674.90739
0.370500;11136.9318;-4683.477571;-6721.933839;0.970970168;-1.29462689;4.854850838;15820.40937;2038.456268;-17858.86564
0.370565;11136.9318;-4434.885343;-6955.610533;1.29462689;-1.29462689;4.854850838;15571.81715;2520.725189;-18092.54234
0.370630;11092.1852;-4151.490204;-7169.399849;1.618283613;-1.29462689;4.854850838;15243.67541;3017.909645;-18261.58505
0.370695;11012.63569;-3863.123219;-7373.245475;1.29462689;-1.29462689;4.854850838;14875.75891;3510.122256;-18385.88117
0.370760;10933.08618;-3579.72808;-7611.894014;1.618283613;-1.618283613;4.854850838;14512.81426;4032.165934;-18544.98019
0.370825;10888.33958;-3291.361096;-7825.68333;1.618283613;-1.29462689;4.854850838;14179.70067;4534.322234;-18714.02291
